movieid,userid,imdbid,rating,timestamp
9441,38,400851,4,"2006-11-06 16:42:50"
3323,45,206194,4,"2000-11-15 06:42:30"
7755,47,265326,5,"2006-10-29 12:13:55"
4132,51,203877,4,"2002-01-09 13:19:27"
3323,53,206194,3,"2002-05-22 16:11:12"
7212,70,592282,4,"2004-04-04 16:42:18"
3323,73,206194,3,"2000-11-15 15:27:35"
9514,75,479560,4,"2006-10-29 15:25:58"
4132,78,203877,5,"2004-05-07 14:37:54"
4057,81,263097,4,"2003-04-08 02:37:57"
5123,82,293844,4,"2008-07-16 23:52:30"
8779,82,118728,2,"2008-07-16 23:32:07"
3216,87,497831,4,"2001-02-07 11:29:54"
3189,88,553579,4,"2004-05-10 15:00:55"
3323,88,206194,5,"2004-05-10 14:48:14"
3366,88,537673,1,"2004-05-10 14:22:30"
4057,88,263097,3,"2004-05-12 09:48:34"
7755,88,265326,5,"2004-07-13 14:20:16"
3467,96,720946,2,"2000-06-01 08:51:23"
3467,97,720946,4,"2002-05-22 21:44:29"
5123,99,293844,2,"2003-04-08 05:22:19"
3233,122,761834,4,"2001-07-10 00:01:03"
3366,122,537673,3,"2001-09-24 23:43:44"
4057,122,263097,2,"2001-07-09 23:52:30"
4132,123,203877,4,"2001-03-29 09:37:20"
7755,124,265326,5,"2005-01-12 13:04:01"
3216,125,497831,1,"2004-05-12 12:30:51"
4057,125,263097,1,"2004-05-12 12:43:11"
4132,125,203877,5,"2004-05-12 12:44:56"
4252,125,606157,1,"2004-05-12 12:35:20"
5123,125,293844,4,"2004-05-12 11:57:51"
7247,125,153516,5,"2004-05-10 17:47:08"
3323,126,206194,3,"2005-12-03 18:43:26"
4132,126,203877,3,"2006-04-19 15:24:09"
7755,126,265326,3,"2006-04-19 15:10:31"
5914,127,329040,3,"2007-09-19 13:07:26"
9420,127,82742,4,"2007-09-19 13:06:38"
9432,127,752884,5,"2007-09-19 13:03:19"
9821,127,5640,5,"2007-08-27 18:48:41"
3189,129,553579,3,"2001-09-21 09:15:17"
3189,137,553579,2,"2002-05-23 10:14:48"
3216,137,497831,3,"2002-05-23 09:55:22"
3233,137,761834,4,"2002-05-23 09:53:24"
3323,137,206194,2,"2002-05-23 10:06:36"
3467,137,720946,4,"2002-05-23 09:57:30"
3961,137,50158,3,"2002-05-23 09:59:25"
4057,137,263097,3,"2002-05-23 10:01:08"
4064,137,605309,3,"2002-05-23 09:59:25"
4132,137,203877,3,"2002-05-23 09:54:36"
4252,137,606157,4,"2002-05-23 09:58:28"
4354,137,222736,2,"2002-05-23 09:53:24"
5123,137,293844,5,"2002-05-23 09:14:11"
5171,137,482818,3,"2002-05-23 09:13:40"
3189,139,553579,3,"2000-11-15 07:19:29"
3216,139,497831,4,"2000-11-15 07:18:11"
3189,143,553579,1,"2002-05-23 10:42:28"
3323,143,206194,2,"2002-05-23 10:34:29"
5078,143,237205,3,"2003-03-25 21:33:55"
5123,143,293844,4,"2003-01-26 21:13:58"
5171,143,482818,2,"2002-05-23 10:26:19"
6058,143,149983,5,"2003-03-25 21:30:20"
3189,144,553579,3,"2004-05-10 19:29:46"
3216,144,497831,4,"2007-07-03 13:33:07"
4057,144,263097,3,"2004-05-10 19:28:39"
4132,144,203877,4,"2004-05-10 20:05:29"
4252,144,606157,3,"2004-05-10 20:02:13"
4354,144,222736,3,"2004-05-11 05:48:19"
5123,144,293844,3,"2006-09-10 01:26:53"
5171,144,482818,4,"2004-05-10 20:01:32"
7212,144,592282,4,"2005-06-14 18:07:18"
7755,144,265326,4,"2007-09-02 13:55:36"
3467,149,720946,3,"2005-03-22 20:01:26"
4252,149,606157,5,"2005-04-01 00:36:19"
5000,149,536976,2,"2005-04-12 14:00:13"
5123,149,293844,3,"2005-04-18 02:16:34"
6058,149,149983,2,"2005-04-01 01:03:06"
3216,154,497831,4,"2004-05-11 01:52:54"
4354,154,222736,4,"2004-05-11 01:49:23"
7247,154,153516,3,"2004-05-11 01:20:18"
9821,155,5640,5,"2007-08-27 18:49:24"
3216,160,497831,3,"2003-04-08 15:44:48"
3467,160,720946,3,"2003-04-08 15:48:33"
4252,160,606157,1,"2003-04-08 15:51:16"
6057,160,563792,4,"2003-04-08 15:53:07"
7755,161,265326,5,"2005-03-28 18:46:56"
9821,162,5640,5,"2008-07-04 07:04:39"
3323,169,206194,2,"2001-09-21 10:48:17"
9807,171,282830,5,"2008-07-04 08:40:40"
9816,175,774821,4,"2007-10-21 11:08:09"
3366,179,537673,4,"2003-04-08 11:59:17"
3233,182,761834,4,"2001-02-15 11:28:28"
3323,182,206194,4,"2000-09-03 07:32:38"
3467,182,720946,4,"2001-02-15 11:29:55"
3961,182,50158,3,"2003-01-17 08:40:59"
4064,182,605309,3,"2002-03-11 07:48:40"
4068,182,5663,2,"2002-07-18 02:59:24"
4076,182,2862,3,"2002-06-11 03:39:57"
4681,182,83207,4,"2002-04-16 13:26:25"
5161,182,594736,3,"2002-09-22 06:39:14"
5171,182,482818,4,"2003-07-07 13:03:38"
6057,182,563792,2,"2004-01-28 05:34:13"
6058,182,149983,4,"2003-02-21 04:36:13"
7755,182,265326,4,"2004-07-16 05:06:43"
3323,187,206194,4,"2004-05-11 02:22:17"
3216,190,497831,4,"2006-02-02 14:53:59"
3906,190,186633,4,"2003-06-24 09:46:24"
4057,190,263097,1,"2003-10-20 08:17:24"
4354,190,222736,4,"2006-02-02 14:56:46"
6058,190,149983,2,"2007-07-02 09:36:01"
7755,190,265326,5,"2004-06-07 08:01:15"
8779,190,118728,3,"2008-07-30 09:54:42"
8901,190,135403,3,"2005-02-19 08:36:42"
8939,190,535649,4,"2006-03-11 06:01:00"
9443,190,722146,3,"2006-03-14 10:18:28"
9821,190,5640,4,"2007-03-26 11:18:50"
3323,192,206194,3,"2008-07-07 10:47:19"
7755,192,265326,4,"2008-07-07 10:44:05"
9821,192,5640,3,"2008-07-04 10:11:01"
10143,192,129154,4,"2008-07-07 10:56:29"
3233,195,761834,3,"2001-04-20 15:40:20"
3323,195,206194,2,"2001-06-16 10:49:48"
3216,198,497831,4,"2007-08-27 19:56:59"
4354,198,222736,3,"2007-08-27 19:54:34"
6058,198,149983,3,"2007-08-27 19:20:55"
9797,198,97821,4,"2007-08-27 18:49:34"
9821,198,5640,5,"2007-08-27 18:49:10"
3189,212,553579,1,"2004-06-05 19:12:14"
3323,212,206194,3,"2000-08-24 15:29:47"
5171,212,482818,3,"2005-05-05 00:25:25"
7235,212,586778,4,"2004-06-05 19:03:13"
8901,212,135403,2,"2005-05-05 00:43:46"
9775,212,744807,3,"2007-07-23 10:43:40"
3189,213,553579,3,"2002-05-23 15:49:50"
3467,213,720946,3,"2002-05-23 15:47:17"
4057,213,263097,3,"2002-05-23 15:50:22"
5171,213,482818,4,"2002-05-23 15:42:46"
3323,214,206194,4,"2000-10-01 08:59:10"
4354,214,222736,2,"2002-07-29 21:25:46"
5123,214,293844,3,"2002-07-29 21:12:00"
3216,215,497831,4,"2001-05-14 19:45:07"
3233,215,761834,4,"2005-06-03 19:57:35"
3323,215,206194,4,"2000-12-04 19:38:12"
3366,215,537673,3,"2004-12-01 00:57:12"
3467,215,720946,4,"2000-12-04 19:34:21"
4252,215,606157,2,"2004-12-01 00:56:32"
4354,215,222736,4,"2001-07-13 20:31:23"
4999,215,131080,3,"2006-05-09 20:39:48"
6057,215,563792,3,"2004-12-01 00:55:18"
6058,215,149983,4,"2004-12-01 00:57:25"
7212,215,592282,4,"2004-12-01 00:55:03"
7235,215,586778,4,"2006-05-09 20:05:01"
7755,215,265326,4,"2004-11-30 02:32:49"
8860,215,57702,4,"2006-05-09 20:36:31"
8901,215,135403,4,"2006-05-09 20:36:04"
9807,215,282830,5,"2007-10-16 21:35:33"
9816,215,774821,5,"2008-10-12 03:22:32"
4354,216,222736,5,"2003-04-08 14:28:11"
5123,216,293844,3,"2003-04-08 14:35:11"
4068,222,5663,4,"2007-08-27 19:13:40"
9821,222,5640,5,"2007-08-27 18:54:26"
3216,226,497831,4,"2003-04-25 08:33:28"
3233,226,761834,4,"2003-04-09 09:14:12"
4132,226,203877,4,"2003-04-25 10:00:25"
4252,226,606157,4,"2003-04-08 11:52:56"
3323,230,206194,4,"2000-06-07 10:32:21"
3366,230,537673,4,"2000-06-07 10:33:12"
3467,230,720946,4,"2000-06-07 10:32:37"
3189,238,553579,1,"2000-06-01 15:26:36"
4076,246,2862,3,"2007-08-28 18:32:48"
7232,246,30828,1,"2007-08-28 18:37:18"
9821,246,5640,5,"2007-08-28 18:31:29"
3216,249,497831,5,"2007-05-08 09:57:18"
3233,249,761834,5,"2006-10-30 10:31:28"
4057,249,263097,5,"2006-10-30 09:22:05"
4132,249,203877,4,"2007-01-15 21:23:11"
4252,249,606157,5,"2006-10-30 11:15:55"
5123,249,293844,5,"2006-10-30 10:30:09"
7247,249,153516,5,"2006-10-30 09:12:08"
7320,249,250513,5,"2006-11-07 21:15:50"
8865,249,94401,3,"2007-01-15 21:29:33"
8901,249,135403,5,"2006-10-30 09:14:45"
9782,249,263101,4,"2007-08-07 06:42:31"
9807,249,282830,5,"2007-08-07 06:40:49"
9816,249,774821,5,"2007-08-21 18:15:16"
9821,249,5640,5,"2007-08-21 18:15:26"
3216,253,497831,3,"2001-02-07 16:53:19"
3366,253,537673,3,"2001-02-07 16:53:19"
3467,253,720946,3,"2001-02-07 16:53:19"
3323,254,206194,4,"2004-05-11 05:56:36"
3189,259,553579,5,"2004-05-11 08:04:08"
3233,259,761834,2,"2004-06-01 10:25:14"
3323,259,206194,5,"2004-05-11 07:48:50"
3961,259,50158,4,"2004-05-11 08:02:10"
4057,259,263097,4,"2004-05-11 08:46:30"
4354,259,222736,1,"2004-06-01 10:24:26"
5078,259,237205,5,"2004-05-11 10:00:35"
5123,259,293844,4,"2004-05-11 07:19:11"
7247,259,153516,5,"2004-05-11 08:46:08"
3323,262,206194,3,"2006-09-01 06:41:45"
3366,262,537673,5,"2003-04-08 15:47:04"
4252,262,606157,5,"2003-04-08 15:49:31"
5324,262,553084,4,"2003-04-08 15:33:50"
6058,262,149983,4,"2003-04-08 15:49:15"
7247,262,153516,3,"2006-12-08 17:21:51"
7755,262,265326,4,"2006-09-01 06:38:40"
3323,263,206194,4,"2006-10-30 09:45:09"
9443,263,722146,3,"2006-10-30 09:13:47"
3323,267,206194,2,"2006-01-29 16:13:48"
5171,267,482818,2,"2005-06-09 10:21:51"
7247,267,153516,3,"2004-05-11 07:33:14"
9816,267,774821,3,"2007-10-10 13:55:13"
3189,272,553579,3,"2005-12-28 12:08:26"
3233,272,761834,5,"2005-12-28 12:16:46"
4057,272,263097,3,"2005-12-28 12:07:51"
7212,272,592282,3,"2005-12-28 22:29:28"
3323,275,206194,4,"2001-02-07 18:05:29"
3467,275,720946,3,"2001-02-07 18:05:53"
3216,276,497831,4,"2004-06-24 10:07:39"
3323,276,206194,4,"2004-07-06 12:54:28"
4057,276,263097,1,"2006-08-25 12:12:16"
4076,276,2862,2,"2003-05-19 13:01:59"
4354,276,222736,2,"2003-05-19 12:45:18"
5000,276,536976,1,"2003-01-06 12:03:25"
5078,276,237205,4,"2003-05-15 10:05:09"
5123,276,293844,2,"2004-04-28 12:05:30"
5171,276,482818,4,"2002-05-24 08:06:00"
5959,276,222693,3,"2004-09-23 14:47:21"
6058,276,149983,2,"2006-02-13 15:41:04"
7247,276,153516,5,"2004-04-28 11:57:08"
7755,276,265326,4,"2005-01-10 16:12:33"
8779,276,118728,4,"2005-07-28 13:45:59"
8901,276,135403,3,"2006-02-13 15:35:46"
8939,276,535649,3,"2005-04-04 13:02:18"
4252,279,606157,4,"2005-03-22 21:13:56"
6058,279,149983,2,"2005-03-22 21:29:11"
7247,279,153516,4,"2005-03-22 21:52:26"
7755,279,265326,4,"2005-03-22 21:50:27"
3323,280,206194,4,"2006-10-30 09:44:18"
5123,280,293844,5,"2006-10-30 12:06:35"
3233,289,761834,3,"2000-03-05 20:23:15"
3323,289,206194,4,"2001-01-10 16:28:45"
3467,289,720946,3,"2001-01-10 16:29:32"
4064,289,605309,2,"2001-07-25 18:30:36"
4076,289,2862,2,"2001-07-25 18:25:52"
4132,289,203877,4,"2004-02-17 23:18:44"
5123,289,293844,3,"2003-10-17 19:27:42"
5171,289,482818,3,"2002-12-10 21:38:16"
6057,289,563792,3,"2004-05-19 15:51:09"
4057,291,263097,4,"2001-09-21 14:45:12"
3323,292,206194,3,"2008-07-04 22:32:57"
4354,292,222736,3,"2008-07-04 23:11:45"
8779,292,118728,4,"2008-07-04 22:37:17"
9514,292,479560,3,"2008-07-04 22:03:07"
9779,292,205482,1,"2008-07-04 21:25:35"
9807,292,282830,5,"2008-07-04 22:35:27"
9821,292,5640,4,"2008-07-04 22:23:31"
10143,292,129154,4,"2008-07-04 22:53:58"
3189,296,553579,2,"2005-12-04 15:22:44"
3216,296,497831,4,"2005-12-04 15:22:50"
3323,296,206194,4,"2005-12-04 15:22:21"
3366,296,537673,4,"2005-12-04 16:24:17"
3961,296,50158,3,"2005-12-04 16:36:28"
4057,296,263097,4,"2005-12-04 15:21:31"
4064,296,605309,4,"2005-12-04 16:46:38"
4076,296,2862,4,"2005-12-04 16:41:44"
4252,296,606157,3,"2005-12-04 16:20:54"
4354,296,222736,4,"2005-12-04 16:17:47"
4999,296,131080,3,"2005-12-04 16:48:09"
5171,296,482818,3,"2005-12-04 16:19:15"
7212,296,592282,4,"2005-12-04 16:35:21"
7247,296,153516,4,"2005-12-04 16:39:45"
8901,296,135403,3,"2005-12-04 15:28:41"
3854,298,172356,3,"2001-09-21 15:34:06"
3366,301,537673,4,"2000-06-01 17:34:18"
3323,302,206194,3,"2001-02-08 07:08:46"
4057,303,263097,3,"2004-05-11 08:14:05"
4132,303,203877,3,"2004-05-11 08:22:39"
5123,303,293844,3,"2004-05-11 08:42:37"
7755,304,265326,3,"2005-12-04 16:44:31"
8779,304,118728,1,"2005-12-04 16:44:44"
3189,307,553579,1,"2003-04-08 17:48:42"
3216,307,497831,3,"2003-04-08 20:06:58"
3854,307,172356,3,"2003-04-08 20:23:40"
4354,307,222736,5,"2003-04-08 20:06:43"
3233,310,761834,3,"2001-04-04 06:40:27"
4132,310,203877,5,"2001-04-04 06:38:32"
3189,314,553579,2,"2003-04-08 17:43:16"
3906,314,186633,1,"2003-04-08 18:07:44"
4057,314,263097,2,"2003-04-08 17:49:23"
3323,318,206194,4,"2005-12-04 20:47:00"
3467,318,720946,2,"2005-12-04 17:01:04"
5123,318,293844,5,"2005-12-04 20:59:42"
5171,318,482818,4,"2005-12-04 21:03:57"
6057,318,563792,1,"2005-12-04 17:12:18"
7755,318,265326,4,"2005-12-04 21:02:34"
8779,318,118728,5,"2005-12-04 17:01:59"
3323,323,206194,4,"2006-02-04 11:50:05"
4252,324,606157,2,"2004-05-11 20:48:01"
7212,325,592282,5,"2005-12-05 20:27:07"
9514,325,479560,3,"2006-08-25 14:51:44"
9807,325,282830,5,"2007-08-08 18:55:56"
4354,330,222736,3,"2005-03-22 22:37:36"
8935,330,73074,4,"2005-04-04 23:44:46"
9514,331,479560,2,"2006-10-30 13:47:43"
3233,335,761834,3,"2002-06-11 06:50:21"
3323,335,206194,3,"2001-06-16 11:13:24"
4064,336,605309,3,"2003-10-31 13:54:59"
3216,347,497831,3,"2002-05-24 10:15:19"
4354,347,222736,4,"2002-05-24 10:12:06"
3189,348,553579,3,"2005-12-10 19:34:47"
4057,348,263097,4,"2005-12-10 19:33:40"
4132,348,203877,5,"2006-01-02 09:48:49"
5123,348,293844,4,"2006-01-02 09:41:34"
5959,348,222693,4,"2005-12-10 19:34:19"
7247,348,153516,5,"2005-12-04 18:14:48"
8862,348,38625,1,"2005-12-09 18:06:55"
8901,348,135403,3,"2005-12-04 18:19:35"
7247,353,153516,4,"2005-03-22 20:24:18"
3323,354,206194,5,"2008-09-30 16:29:49"
7755,354,265326,4,"2008-09-30 16:22:00"
8779,354,118728,5,"2008-09-30 16:30:45"
3323,358,206194,3,"2004-05-11 11:47:33"
4354,359,222736,2,"2005-12-11 12:38:25"
5123,359,293844,3,"2005-12-04 19:07:53"
8779,359,118728,3,"2005-12-04 18:48:07"
5123,368,293844,4,"2003-06-14 16:16:26"
7755,368,265326,4,"2004-07-12 19:30:05"
8901,372,135403,4,"2005-03-22 20:32:31"
3366,380,537673,3,"2003-06-14 13:18:50"
6057,380,563792,3,"2003-06-19 10:17:43"
3323,386,206194,4,"2001-01-18 13:31:37"
3467,386,720946,5,"2000-12-14 09:43:00"
4132,386,203877,4,"2001-08-17 16:29:23"
3961,387,50158,5,"2001-10-04 15:20:18"
5123,388,293844,5,"2003-04-09 05:27:50"
4354,389,222736,3,"2006-10-30 19:01:24"
7755,389,265326,4,"2006-10-30 18:43:16"
7755,390,265326,4,"2008-07-06 10:29:49"
9807,390,282830,4,"2008-07-06 10:33:21"
9821,390,5640,4,"2008-07-06 10:30:48"
5171,396,482818,4,"2004-05-11 14:59:47"
4057,401,263097,3,"2001-09-22 19:57:27"
3467,402,720946,4,"2003-04-14 03:49:37"
4354,402,222736,1,"2003-05-05 07:21:35"
5123,402,293844,3,"2003-05-05 07:21:13"
3323,407,206194,4,"2004-05-11 14:48:03"
5171,414,482818,3,"2005-03-22 20:43:03"
4068,419,5663,3,"2003-04-09 09:32:17"
4354,419,222736,3,"2003-04-09 11:54:03"
3233,424,761834,4,"2000-06-01 22:33:43"
3189,426,553579,2,"2004-05-11 17:38:44"
3216,426,497831,1,"2004-05-12 06:09:37"
3233,426,761834,3,"2004-05-28 06:31:14"
3323,426,206194,4,"2004-05-11 17:21:36"
3366,426,537673,3,"2004-05-12 06:28:40"
3467,426,720946,2,"2004-05-14 05:57:11"
4057,426,263097,3,"2004-05-12 06:26:04"
4068,426,5663,3,"2004-05-14 05:48:08"
4076,426,2862,2,"2004-05-12 06:19:26"
4132,426,203877,4,"2004-05-12 06:01:18"
4252,426,606157,3,"2004-05-12 06:19:02"
4354,426,222736,2,"2004-05-11 17:24:09"
4999,426,131080,2,"2004-05-14 05:53:33"
5000,426,536976,2,"2004-05-12 07:11:53"
5123,426,293844,3,"2004-05-12 06:06:03"
5171,426,482818,3,"2004-05-12 06:07:44"
5324,426,553084,2,"2004-05-12 06:45:46"
5959,426,222693,3,"2004-05-12 06:32:58"
6057,426,563792,3,"2004-05-12 06:18:01"
6058,426,149983,3,"2004-05-12 06:30:06"
6163,426,71551,4,"2004-05-12 06:17:54"
6425,426,572780,3,"2004-05-12 06:09:23"
7212,426,592282,3,"2004-11-05 15:25:53"
7247,426,153516,4,"2004-11-05 15:15:13"
7755,426,265326,3,"2005-07-17 09:16:47"
8779,426,118728,4,"2005-11-22 15:11:41"
8860,426,57702,2,"2005-11-22 15:13:02"
8865,426,94401,2,"2005-11-22 15:21:25"
8901,426,135403,3,"2005-07-17 09:03:46"
8935,426,73074,1,"2005-07-17 09:34:10"
5123,431,293844,5,"2008-07-08 02:49:22"
10143,431,129154,4,"2008-07-07 09:54:07"
3323,434,206194,3,"2000-06-06 03:31:57"
3366,434,537673,4,"2000-09-27 00:20:27"
3467,434,720946,1,"2000-06-05 11:37:49"
3854,434,172356,1,"2000-11-01 07:03:48"
4132,434,203877,4,"2004-06-22 04:45:10"
4252,434,606157,3,"2004-06-22 04:47:23"
5123,434,293844,5,"2002-04-02 06:15:06"
5914,434,329040,1,"2004-06-22 04:48:41"
6058,434,149983,4,"2004-06-22 04:48:38"
9807,435,282830,3,"2007-09-03 21:52:42"
9821,435,5640,5,"2007-08-28 02:41:42"
3323,438,206194,4,"2001-09-22 15:55:55"
4252,438,606157,4,"2001-09-22 15:13:25"
6057,439,563792,4,"2003-04-09 10:54:08"
3323,440,206194,4,"2006-11-03 07:43:59"
4057,440,263097,4,"2006-11-04 16:01:19"
7247,440,153516,3,"2006-10-31 11:13:59"
7755,440,265326,3,"2006-11-03 07:45:53"
3189,449,553579,4,"2001-09-22 02:36:36"
3216,449,497831,4,"2001-09-22 02:35:38"
4057,449,263097,4,"2001-09-22 03:08:12"
4076,449,2862,3,"2001-09-22 03:08:12"
3233,450,761834,4,"2003-04-09 14:36:55"
3323,450,206194,4,"2003-04-24 11:53:40"
3467,450,720946,3,"2003-04-24 13:04:30"
4057,450,263097,2,"2003-04-24 13:12:13"
4132,450,203877,4,"2003-04-15 13:37:00"
4252,450,606157,2,"2003-04-24 13:16:49"
5078,450,237205,1,"2003-04-28 10:26:48"
5171,450,482818,4,"2003-04-09 14:11:59"
3216,451,497831,4,"2005-03-22 20:47:41"
4354,451,222736,5,"2005-03-22 20:44:48"
5123,451,293844,4,"2005-03-22 20:44:23"
7247,451,153516,5,"2005-03-22 20:53:07"
3323,452,206194,4,"2008-07-07 10:22:50"
3323,458,206194,4,"2001-09-22 04:09:33"
4057,458,263097,1,"2001-09-22 04:16:29"
4064,458,605309,1,"2001-09-22 04:16:29"
3189,459,553579,4,"2008-07-11 13:13:17"
3323,459,206194,3,"2008-07-07 10:36:54"
3366,459,537673,5,"2008-07-07 10:43:51"
3467,459,720946,4,"2008-07-11 13:02:04"
4132,459,203877,5,"2008-09-02 11:00:21"
4252,459,606157,4,"2008-07-11 13:04:32"
4354,459,222736,4,"2008-07-11 12:53:46"
5123,459,293844,4,"2008-07-09 15:00:18"
5171,459,482818,2,"2008-07-11 12:50:56"
6058,459,149983,3,"2008-07-11 13:01:31"
7212,459,592282,3,"2008-07-11 13:12:09"
7247,459,153516,4,"2008-07-07 10:42:12"
7755,459,265326,3,"2008-07-09 11:14:57"
8779,459,118728,3,"2008-07-09 14:55:37"
8901,459,135403,5,"2008-07-07 10:41:48"
9821,459,5640,5,"2008-07-09 11:13:49"
10143,459,129154,4,"2008-07-13 12:58:50"
10178,459,324078,4,"2008-07-15 22:10:04"
3216,463,497831,4,"2000-06-01 23:45:05"
3323,463,206194,5,"2000-06-01 23:30:14"
3467,463,720946,4,"2000-10-19 11:58:38"
5171,463,482818,2,"2002-08-25 20:16:21"
3233,465,761834,4,"2004-06-18 15:36:15"
3323,465,206194,4,"2004-05-12 03:12:36"
4252,465,606157,2,"2004-05-26 12:28:37"
5078,465,237205,4,"2004-05-29 05:23:35"
8779,465,118728,4,"2006-10-13 14:15:05"
4354,469,222736,4,"2001-08-01 10:39:38"
5123,469,293844,4,"2002-05-22 22:05:50"
9514,469,479560,4,"2006-07-15 08:23:19"
3233,476,761834,5,"2004-07-19 17:25:34"
4057,476,263097,4,"2004-05-12 04:17:21"
7212,476,592282,3,"2004-05-12 04:09:14"
7235,476,586778,4,"2004-06-08 23:00:35"
7755,476,265326,4,"2004-06-21 07:09:41"
9807,476,282830,2,"2007-07-29 22:40:57"
9816,476,774821,4,"2007-07-30 01:14:32"
3467,477,720946,5,"2007-08-28 07:29:03"
4068,477,5663,4,"2007-08-28 07:41:15"
7755,477,265326,5,"2007-08-28 07:50:51"
9807,477,282830,4,"2007-08-28 07:58:56"
9821,477,5640,5,"2007-08-28 07:49:19"
3467,480,720946,2,"2003-04-09 20:12:36"
3906,480,186633,1,"2003-04-09 20:18:20"
4057,480,263097,1,"2003-04-09 13:33:44"
4132,480,203877,3,"2003-04-09 20:33:58"
4252,480,606157,3,"2003-04-09 20:13:42"
4354,480,222736,3,"2003-04-09 13:06:07"
5000,480,536976,1,"2003-04-09 13:31:43"
5123,480,293844,3,"2003-04-09 20:29:01"
5171,480,482818,3,"2003-04-09 13:35:59"
3189,481,553579,2,"2006-11-07 06:46:47"
4057,481,263097,4,"2006-11-04 00:28:44"
4354,481,222736,4,"2006-11-04 00:36:10"
6057,481,563792,3,"2006-11-01 12:38:03"
6058,481,149983,4,"2006-11-04 00:40:16"
7755,481,265326,4,"2006-11-10 12:56:24"
8779,481,118728,5,"2006-11-01 12:12:01"
8901,481,135403,4,"2006-11-04 00:40:01"
3216,482,497831,4,"2008-08-23 14:18:58"
4132,482,203877,5,"2008-07-08 06:44:22"
4252,482,606157,3,"2008-07-08 07:00:43"
5123,482,293844,5,"2008-07-07 13:39:45"
6057,482,563792,3,"2008-07-08 07:25:25"
7212,482,592282,4,"2008-07-07 14:04:19"
8860,482,57702,3,"2008-07-08 08:06:57"
8901,482,135403,3,"2008-07-08 06:58:04"
8935,482,73074,3,"2008-07-08 08:08:11"
8939,482,535649,4,"2008-07-08 07:45:05"
9514,482,479560,4,"2008-07-08 07:08:36"
9807,482,282830,4,"2008-07-07 13:42:41"
9818,482,757830,3,"2008-07-08 07:57:00"
9821,482,5640,4,"2008-07-07 14:09:00"
10178,482,324078,4,"2008-07-08 07:06:53"
9821,487,5640,3,"2007-08-28 08:17:11"
4057,491,263097,5,"2005-03-23 14:42:22"
7755,491,265326,3,"2005-03-29 19:15:44"
3189,493,553579,2,"2008-07-07 15:03:11"
3233,493,761834,3,"2008-07-10 13:27:49"
3323,493,206194,4,"2008-07-07 23:38:15"
4064,493,605309,3,"2008-07-11 00:13:37"
5123,493,293844,5,"2008-07-08 03:58:49"
8779,493,118728,4,"2008-07-10 23:47:42"
8901,493,135403,3,"2008-07-16 23:42:20"
9775,493,744807,3,"2008-07-10 23:46:05"
9816,493,774821,4,"2008-07-07 14:42:36"
