tagId,tag
2202,Psychothriller
2203,"Zombie Movie"
2204,"Watched 2008"
2205,"watched 2006"
2206,"watched 2007"
2207,"movies to watch"
2208,"psychiatrist as protagonist"
2209,"computer cracker"
2210,"similar:Final Fantasy"
2211,insomnia
2212,"adapted from:book"
2213,"related:Rio Bravo(1958)"
2214,"adapted from:comic"
2215,military
2216,infidelity
2217,"author:Frank Miller"
2218,adultery
2219,warmonger
2220,hilarious
2221,"Too much slow motion!"
2222,"action spoof"
2223,"Ei muista"
2225,"Read All The Negative Reviews & Save 2 Hours Of Your Life!"
2227,"It Just Keeps Getting Better"
2228,"blair gojira project"
2229,2
2230,3
2231,1.5
2232,3.5
2233,"Disturbing and grotesque - what a nightmare"
2234,"gory fun"
2235,Divx1
2236,"David Fincher"
2237,"Oscar (Best Music - Original Song)"
2238,"Saturn Award (Best Makeup)"
2239,"father-son relationship"
2240,"based on comic"
2241,"Ryan Gosling"
2242,gothic
2243,slasher
2244,"mmm... brains..."
2245,"Jennifer Garner"
2247,sexuality
2248,"Jill the Babysitter"
2249,"based on a comic"
2250,"Friday night movie"
2251,"Socially Irrelevant"
2252,hfghfg
2253,"effective and superfun monster movie."
2254,Regal
2255,"heaven and hell"
2259,"Frank Miller"
2260,"saliva song rocks"
2261,buy
2262,get
2263,VHS
2264,THEATER
2265,ClearPlay
2266,PG13
2267,spartians
2268,"John Travolta"
2269,"Maggie Smith"
2270,"sword fight"
2271,"not as good as original"
2272,gaia
2273,spying
2274,"british comedy"
2275,"not as good as the first"
2276,"Fantastic comedy!"
2277,"Snoop Dogg"
2278,suburbia
2279,narrated
2280,rape
2281,"Keanu Reeves"
2282,"tough guy"
2283,slow
2284,"not very good"
2285,"Potential Oscar Nom"
2286,Erotic
2287,great
2288,"very good"
2289,army
2290,"John Leguizamo"
2291,"Paul Newman"
2292,"great drama"
2293,"show business"
2294,"Steven Spielberg"
2295,"Jamie Kennedy"
2296,"Martin Lawrence"
2297,"Madeleine Stowe"
2298,fraternity
2299,dogs
2300,"too scared to see it"
2301,flick
2302,"degented original"
2303,futuristic
2304,"Maybe children like it"
2305,"Gary Oldman"
2306,"Alan Moore"
2307,"need to buy"
2308,"drop rating to 4?"
2309,monster
2310,just-plain-bad
2311,roadtrip
2312,"Michael Pitt"
2313,"Wayne Morse"
2314,"Wanda Sykes"
2315,"Michael Carman"
2316,government
2317,Slashy
2318,"boring and historically inaccurate"
2319,"Ben Affleck"
2320,katsomattomat
2321,"Christian Bale"
2322,"Steven Seagal"
2323,"Don Cheadle"
2324,"Forest Whitaker"
2325,"Al Pacino"
2326,"Samuel L. Jackson"
2327,"Morgan Freeman"
2328,violence
2329,"life reflection"
2330,"unintentionally funny"
2331,"better than expected"
2333,"cannot wait!"
2334,E.T.
2335,"Kristen Stewart"
2336,oscar
2337,"motion capture"
2338,"comic strip"
2339,oppl
2340,unbelievable
2341,Epic
2342,"Tom Baker was in it"
2343,"inspired by a real-life person"
2344,CANNIBALS
2345,"Below R"
2346,PG-13
2347,"My movies"
2348,yuppies
2349,pro-life
2350,interpretable
2351,"father daughter relationship"
2352,"strong room"
2353,"alan rickman"
2354,"movie to see"
2355,"Julianne Moore"
2356,"Jude Law"
2357,"Daniel Radcliffe"
2358,avi
2359,svcd
2360,quirky
2361,"project greenlight"
2362,detroit
2363,"slow moving"
2364,"need to own"
2365,DVD-Video
2366,florence
2367,re-watch
2368,"absolute crap"
2369,"corvallis library"
2370,"not corv lib"
2371,"jcl to buy"
2372,"not hawaii library"
2373,"silly fun"
2374,"irritating camera work"
2375,muscle
2376,"great animation"
2377,"great story"
2378,"Game related"
2379,super-heroe
2380,"Ben Affleck = HORRIBLE MOVIE"
2381,crap
2382,"humanlike God"
2383,"unfair marriage"
2384,"Disney (Touchstone)"
2385,heroic
2386,"Only good once"
2387,"Suspension of disbelief required"
2389,ummarti2007
2390,superhuman
2391,robots
2392,"AFI 100 (Cheers)"
2393,"patrick bateman"
